"typ";"ertrag";"punkte_haupt";"punkte_anteil";"zeilen_haupt";"zeilen_neben";"jahre_haupt";"jahre_gesamt";"erster";"letzter";"basis";"kontext";"niveau_I";"niveau_II";"niveau_III";"schritte_mittel";"schritte_fehlt";"thema";"leitidee";"status"
"Sachaufgabe zu einer Gleichungskette formulieren";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"neu"
"Scheitelpunkt einer Parabel rechnerisch nachweisen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"neu"
"Schnittpunktanzahl von Graphen begründen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"neu"
"Schnittpunktgleichung zweier Parabeln herleiten";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"neu"
"Seite im allgemeinen Dreieck über Kosinussatz berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Sinussatz";"Größen und Messen";"neu"
"Seite im rechtwinkligen Dreieck aus Winkel und Kathete berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Trigonometrie im rechtwinkligen Dreieck";"Größen und Messen";"neu"
"Sinussatz Winkel berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Sinussatz";"Größen und Messen";"neu"
"Streckenlänge über ein konstruiertes Parallelogramm im Vieleck begründen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Kongruenz und Konstruktion";"Raum und Form";"neu"
"Symmetrie einer geraden Funktion zur Bestimmung eines Funktionswertes ohne Rechnung nutzen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Funktionen allgemein";"Gleichungen und Funktionen";"neu"
"Term durch Zusammenfassen gleichartiger Glieder vereinfachen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Terme umformen";"Zahlen und Operationen";"neu"
"Term mit Klammern und Potenzen vereinfachen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Terme umformen";"Zahlen und Operationen";"neu"
"Transportanzahl aus Volumen und Masse berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Volumen und Oberfläche";"Größen und Messen";"neu"
"Trapezfläche im Koordinatensystem aus Funktionsgraph und Geraden berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Ebene Figuren und Winkel";"Raum und Form";"neu"
"Trapezhöhe über den aus einem angrenzenden Dreieck übertragenen Winkel berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Ähnlichkeit und Strahlensätze";"Raum und Form";"neu"
"Trigonometrische Funktionsgleichung zu Graph zuordnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Trigonometrische Funktionen";"Gleichungen und Funktionen";"neu"
"Umfang eines Drachenvierecks aus Diagonalenabschnitten berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Ebene Figuren und Winkel";"Raum und Form";"neu"
"Umfang eines Dreiecks aus Koordinaten berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Ebene Figuren und Winkel";"Raum und Form";"neu"
"Umkehrfunktion einer Wurzelfunktion durch Spiegelung an y=x bestimmen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Funktionen allgemein";"Gleichungen und Funktionen";"neu"
"Vieleck aus Seiten und Winkeln im Maßstab konstruieren";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Kongruenz und Konstruktion";"Raum und Form";"neu"
"Volumen eines aus Kegel und Halbkugel zusammengesetzten Körpers mit Nebenbedingung berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Volumen und Oberfläche";"Größen und Messen";"neu"
"Wahrscheinlichkeit für die Position des ersten Treffers berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Wahrscheinlichkeit mehrstufig";"Daten und Zufall";"neu"
"Wertebereich einer Funktion angeben";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"neu"
"Wertetabelle auf Exponentialfunktion prüfen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"neu"
"Winkel als Differenz zweier Teilwinkel in einem zusammengesetzten rechtwinkligen Dreieck nachweisen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Ebene Figuren und Winkel";"Raum und Form";"neu"
"Winkel eines Drachenvierecks aus Diagonalenabschnitten berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Trigonometrie im rechtwinkligen Dreieck";"Größen und Messen";"neu"
"Winkel im allgemeinen Dreieck über Kosinussatz berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Sinussatz";"Größen und Messen";"neu"
"Winkel im allgemeinen Dreieck über Sinussatz berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Sinussatz";"Größen und Messen";"neu"
"Zeit aus Exponentialgleichung berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"neu"
"x-Werte einer quadratischen Funktion zu gegebenem Funktionswert berechnen";"0";"0";"0.0";"0";"0";"0";"0";"";"";"0";"0";"0";"0";"0";"";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"neu"
